"filename","spk","male","class","ldur","vdur","dur"
"iCC51","CC",FALSE,"d",70,130,200
"iCC60","CC",FALSE,"d",85,155,240
"iCC63","CC",FALSE,"d",84,166,250
"iCC65","CC",FALSE,"d",68,174,242
"iCC7","CC",FALSE,"d",88,114,202
"iCC71","CC",FALSE,"d",91,162,253
"iCC80","CC",FALSE,"d",92,150,242
"iCC83","CC",FALSE,"d",70,137,207
"iCC85","CC",FALSE,"d",67,125,192
"iCC92","CC",FALSE,"d",74,139,213
"iCT13","CT",TRUE,"d",77,110,187
"iCT2","CT",TRUE,"d",67,63,130
"iCT21","CT",TRUE,"d",76,128,204
"iCT26","CT",TRUE,"d",65,125,190
"iCT32","CT",TRUE,"d",76,118,194
"iCT41","CT",TRUE,"d",96,88,184
"iCT44","CT",TRUE,"d",84,94,178
"iCT46","CT",TRUE,"d",43,165,208
"iCT5","CT",TRUE,"d",62,64,126
"iCT52","CT",TRUE,"d",73,209,282
"iCT61","CT",TRUE,"d",22,149,171
"iCT64","CT",TRUE,"d",14,159,173
"iCT66","CT",TRUE,"d",38,139,177
"iCT7","CT",TRUE,"d",65,83,148
"iCT72","CT",TRUE,"d",75,132,207
"iCT81","CT",TRUE,"d",54,114,168
"iCT84","CT",TRUE,"d",63,129,192
"iCT86","CT",TRUE,"d",71,108,179
"iCT92","CT",TRUE,"d",74,117,191
"lianabFM","FM",TRUE,"h",48,193,241
"lianabFM1","FM",TRUE,"h",55,181,236
"lianabFM2","FM",TRUE,"h",72,180,252
"lianabFM3","FM",TRUE,"h",57,167,224
"lianabFM4","FM",TRUE,"h",51,176,227
"lianabFM5","FM",TRUE,"h",48,193,241
"lianabNM1","NM",TRUE,"h",72,191,263
"lianabNM2","NM",TRUE,"h",76,186,262
"lianabNM3","NM",TRUE,"h",64,182,246
"lianabNM4","NM",TRUE,"h",72,200,272
"lianabNM5","NM",TRUE,"h",74,175,249
"lianacFM","FM",TRUE,"h",67,148,215
"lianacFM1","FM",TRUE,"h",84,186,270
"lianacFM2","FM",TRUE,"h",57,166,223
"lianacFM3","FM",TRUE,"h",62,184,246
"lianacFM4","FM",TRUE,"h",67,151,218
"lianacFM5","FM",TRUE,"h",67,148,215
"lianacNM1","NM",TRUE,"h",76,187,263
"lianacNM2","NM",TRUE,"h",79,191,270
"lianacNM3","NM",TRUE,"h",74,176,250
"lianacNM4","NM",TRUE,"d",71,161,232
"lianacNM5","NM",TRUE,"h",83,176,259
"lianadFM","FM",TRUE,"h",52,156,208
"lianadFM1","FM",TRUE,"h",58,188,246
"lianadFM2","FM",TRUE,"h",54,163,217
"lianadFM3","FM",TRUE,"h",46,178,224
"lianadFM4","FM",TRUE,"h",59,174,233
"lianadFM5","FM",TRUE,"h",52,156,208
"lianadNM1","NM",TRUE,"h",68,188,256
"lianadNM2","NM",TRUE,"h",76,177,253
"lianadNM3","NM",TRUE,"h",79,192,271
"lianadNM4","NM",TRUE,"h",66,180,246
"lianadNM5","NM",TRUE,"h",72,176,248
"lianaFM","FM",TRUE,"h",55,180,235
"lianaFM2","FM",TRUE,"h",59,184,243
"lianaFM3","FM",TRUE,"h",55,153,208
"lianaFM4","FM",TRUE,"h",70,149,219
"lianaFM5","FM",TRUE,"h",55,180,235
"lianaNM1","NM",TRUE,"h",75,190,265
"lianaNM2","NM",TRUE,"h",74,226,300
"lianaNM3","NM",TRUE,"h",86,188,274
"lianaNM4","NM",TRUE,"h",76,196,272
"lianaNM5","NM",TRUE,"h",71,177,248
